Variant,Activity,Required_Competency,Responsible,Time_h,Baseline_Cost_EUR,Rationale,Notes,Include_Default,Category,Quantity_Default,Hourly_Rate_Default,Suggested_Sales_EUR
V1 - Basis-Check,Sichtprüfung Dach/Verschattung,Elektrofachkraft,intern,0.5,27.5,Darf einfache elektrotechnische Tätigkeiten durchführen,einfache Vor-Ort-Begehung,True,Labor,1.0,75.0,37.5
V1 - Basis-Check,Netzanschluss prüfen,Elektromeister,intern,0.5,37.5,"Übernimmt Fach- und Aufsichtsverantwortung, darf Netzanschlüsse und Prüfungen nach TAB/VDE freigeben.",TAB/VDE-AR-N 4105,True,Labor,1.0,75.0,37.5
V1 - Basis-Check,Zählerplatz prüfen,Elektromeister,intern,0.5,37.5,"Übernimmt Fach- und Aufsichtsverantwortung, darf Netzanschlüsse und Prüfungen nach TAB/VDE freigeben.","Platzreserve, TAB",True,Labor,1.0,75.0,37.5
V1 - Basis-Check,Verbrauchsanalyse (grob),Elektromeister,intern,0.5,37.5,"Übernimmt Fach- und Aufsichtsverantwortung, darf Netzanschlüsse und Prüfungen nach TAB/VDE freigeben.",Lastprofil grob,True,Labor,1.0,75.0,37.5
V1 - Basis-Check,Wirtschaftlichkeitsvorschau PV,Elektromeister,intern,1.0,75.0,"Übernimmt Fach- und Aufsichtsverantwortung, darf Netzanschlüsse und Prüfungen nach TAB/VDE freigeben.",einfache Kalkulation,True,Labor,1.0,75.0,75.0
V1 - Basis-Check,Kurzbericht erstellen,Elektromeister,intern,1.0,75.0,"Übernimmt Fach- und Aufsichtsverantwortung, darf Netzanschlüsse und Prüfungen nach TAB/VDE freigeben.",Word/Excel Vorlage,True,Labor,1.0,75.0,75.0
V2 - Energetik-Check,Analyse Tag-/Nachtlastbild,Elektromeister,intern,1.0,75.0,"Übernimmt Fach- und Aufsichtsverantwortung, darf Netzanschlüsse und Prüfungen nach TAB/VDE freigeben.",Messung/Abschätzung,True,Labor,1.0,75.0,75.0
V2 - Energetik-Check,Prüfung Stellplatz/Wallbox,Elektrofachkraft,intern,0.5,27.5,"Darf einfache elektrotechnische Tätigkeiten durchführen, Endabnahme jedoch durch Elektromeister erforderlich (VDE, DGUV Vorschrift 3).",Vorbereitung Ladeinfrastruktur,True,Labor,1.0,75.0,37.5
V2 - Energetik-Check,Speicherintegration prüfen,Elektromeister,intern,1.0,75.0,"Übernimmt Fach- und Aufsichtsverantwortung, darf Netzanschlüsse und Prüfungen nach TAB/VDE freigeben.",Platz & Absicherung,True,Labor,1.0,75.0,75.0
V2 - Energetik-Check,Smart-Meter Schnittstellen,Elektromeister,intern,0.5,37.5,"Übernimmt Fach- und Aufsichtsverantwortung, darf Netzanschlüsse und Prüfungen nach TAB/VDE freigeben.",MSBG Kenntnisse,True,Labor,1.0,75.0,37.5
V2 - Energetik-Check,Bebilderter Begehungsbericht,Elektromeister,intern,1.5,112.5,"Übernimmt Fach- und Aufsichtsverantwortung, darf Netzanschlüsse und Prüfungen nach TAB/VDE freigeben.",inkl. Fotos,True,Labor,1.0,75.0,112.5
V2 - Energetik-Check,Modularer Investitionsplan,Elektromeister,intern,1.5,112.5,"Übernimmt Fach- und Aufsichtsverantwortung, darf Netzanschlüsse und Prüfungen nach TAB/VDE freigeben.",Excel-Kalkulation,True,Labor,1.0,75.0,112.5
V3 - Sanierungs-Check,Heizsystemanalyse,TGA-/WP-Planer,extern,1.5,180.0,"Hydraulik, Heizsysteme und Wärmepumpen erfordern TGA-Planungskompetenz; nur Fachingenieure können diese Prüfungen vornehmen.",Hydraulik/Vorlauftemperatur,True,Labor,1.0,75.0,112.5
V3 - Sanierungs-Check,WP-Fähigkeit prüfen,TGA-/WP-Planer,extern,1.5,180.0,"Hydraulik, Heizsysteme und Wärmepumpen erfordern TGA-Planungskompetenz; nur Fachingenieure können diese Prüfungen vornehmen.",Puffer/Aufstellort,True,Labor,1.0,75.0,112.5
V3 - Sanierungs-Check,PV+WP+Speicher Integration,Elektromeister+TGA,Mischform,2.0,195.0,"Hydraulik, Heizsysteme und Wärmepumpen erfordern TGA-Planungskompetenz; nur Fachingenieure können diese Prüfungen vornehmen.",Schnittstellen,True,Labor,1.0,75.0,150.0
V3 - Sanierungs-Check,Schall-/Genehmigungsprüfung,Energieberater/TGA,extern,1.0,120.0,"Hydraulik, Heizsysteme und Wärmepumpen erfordern TGA-Planungskompetenz; nur Fachingenieure können diese Prüfungen vornehmen.","TA Lärm, Bauamt",True,Labor,1.0,75.0,75.0
V3 - Sanierungs-Check,Dokumentation Sanierungsfahrplan light,Energieberater,extern,2.0,240.0,"Fördermittelberatung und iSFP-Dokumentation sind geschützte Tätigkeiten, nur durch gelistete Energieberater zulässig.",iSFP-ähnlich,True,Labor,1.0,75.0,150.0
V3 - Sanierungs-Check,Fördermittelübersicht,Energieberater,extern,1.0,120.0,"Fördermittelberatung und iSFP-Dokumentation sind geschützte Tätigkeiten, nur durch gelistete Energieberater zulässig.",BEG/KfW Optionen,True,Labor,1.0,75.0,75.0
V4 - ESG-Check,"ESG-Reporting (Taxonomie, GRESB, ECORE)",ESG-Consultant,extern,2.0,300.0,"Nachhaltigkeits-Reporting (EU-Taxonomie, GRESB, ECORE) erfordert ESG-Spezialwissen; nicht Bestandteil elektrotechnischer Ausbildung.",Spezialwissen,True,Labor,1.0,75.0,150.0
V4 - ESG-Check,Mobilitäts- und Ladeinfrastrukturkonzept,Elektromeister+Consultant,Mischform,1.5,195.0,"Betriebsführung, Finanzierung und Quartiersentwicklung sind betriebswirtschaftliche/regulatorische Aufgaben, erfordern externe Berater.",Wallbox+Flotten,True,Labor,1.0,75.0,112.5
V4 - ESG-Check,Mieterstrommodell entwickeln,Energieberater,extern,2.0,240.0,"Fördermittelberatung und iSFP-Dokumentation sind geschützte Tätigkeiten, nur durch gelistete Energieberater zulässig.",Regulatorik,True,Labor,1.0,75.0,150.0
V4 - ESG-Check,Wärmepumpenkonzept (zentral/dezentral),TGA-/WP-Planer,extern,2.0,240.0,"Hydraulik, Heizsysteme und Wärmepumpen erfordern TGA-Planungskompetenz; nur Fachingenieure können diese Prüfungen vornehmen.",Systemvergleich,True,Labor,1.0,75.0,150.0
V4 - ESG-Check,Standort-/Gebäudepotenzialanalyse,Consultant/Ingenieur,extern,2.0,240.0,"Betriebsführung, Finanzierung und Quartiersentwicklung sind betriebswirtschaftliche/regulatorische Aufgaben, erfordern externe Berater.",Quartierskonzept,True,Labor,1.0,75.0,150.0
V4 - ESG-Check,Betriebsführung & Finanzierungskonzept,Consultant/Finanz,extern,2.0,300.0,"Betriebsführung, Finanzierung und Quartiersentwicklung sind betriebswirtschaftliche/regulatorische Aufgaben, erfordern externe Berater.","Contracting, Förderung",True,Labor,1.0,75.0,150.0
V4 - ESG-Check,Dokumentation ESG-kompatibel,Consultant,extern,2.0,300.0,"Betriebsführung, Finanzierung und Quartiersentwicklung sind betriebswirtschaftliche/regulatorische Aufgaben, erfordern externe Berater.",Bericht & Projektfahrplan,True,Labor,1.0,75.0,150.0
